BOWLING_ODIs_Mat,BOWLING_ODIs_Balls,BOWLING_ODIs_Runs,BOWLING_ODIs_Wkts,BOWLING_ODIs_Ave,BOWLING_ODIs_Econ,BOWLING_ODIs_SR,BOWLING_ODIs_4w,BOWLING_ODIs_5w,BATTING_ODIs_Mat,BATTING_ODIs_NO,BATTING_ODIs_Runs,BATTING_ODIs_HS,BATTING_ODIs_Ave,BATTING_ODIs_BF,BATTING_ODIs_SR,BATTING_ODIs_100,BATTING_ODIs_50,BATTING_ODIs_4s,BATTING_ODIs_6s,BATTING_ODIs_Ct,BATTING_ODIs_St,Playing role,NAME,COUNTRY,ID
2.0,90,97,1,97,6.46,90,0,0,2.0,0,10,10,10,6,166.66,0,0,1,1,0,0,Bowler,Ruaidhri Smith,Scotland,458897
7.0,-,-,-,-,-,-,-,-,7.0,1,63,23,10.5,140,45,0,0,6,0,2,0,Batsman,Qasim Sheikh,Scotland,25434
36.0,1727,1418,54,26.25,4.92,31.9,2,1,36.0,10,211,34,14.06,300,70.33,0,0,14,3,10,0,Bowler,Safyaan Sharif,Scotland,414970
15.0,713,617,20,30.85,5.19,35.6,0,0,15.0,3,154,46*,14,172,89.53,0,0,11,3,6,0,Allrounder,Rob Taylor,Scotland,353431
20.0,861,663,29,22.86,4.62,29.6,1,0,20.0,3,240,37,16,351,68.37,0,0,15,4,1,0,Bowler,Craig Wright,Scotland,25123
4.0,203,174,7,24.85,5.14,29,0,0,4.0,2,6,3*,6,9,66.66,0,0,0,0,3,0,Bowler,Stuart Whittingham,Scotland,627732
11.0,579,410,19,21.57,4.24,30.4,0,0,11.0,3,16,14,5.33,31,51.61,0,0,3,0,3,0,Bowler,Brad Wheal,Scotland,807535
36.0,-,-,-,-,-,-,-,-,36.0,1,974,101,28.64,1559,62.47,1,9,79,8,7,0,Opening batsman,Fraser Watts,Scotland,25120
18.0,940,693,22,31.5,4.42,42.7,0,0,18.0,4,130,31*,16.25,170,76.47,0,0,8,3,6,0,Bowler,Mark Watt,Scotland,659081
22.0,-,-,-,-,-,-,-,-,22.0,0,328,58,18.22,347,94.52,0,3,28,8,11,2,Wicketkeeper batsman,Craig Wallace,Scotland,414971
6.0,78,51,1,51,3.92,78,0,0,6.0,0,108,40,18,158,68.35,0,0,9,1,3,0,Middle-order batsman,Dipendra Singh Airee,Nepal,794707
6.0,12,10,0,-,5,-,0,0,6.0,1,94,29,18.8,176,53.4,0,0,7,0,3,0,Top-order batsman,Aarif Sheikh,Nepal,701217
1.0,54,43,2,21.5,4.77,27,0,0,1.0,1,4,4*,-,9,44.44,0,0,0,0,0,0,Bowler,Lalit Bhandari,Nepal,701201
3.0,-,-,-,-,-,-,-,-,3.0,0,35,21,11.66,77,45.45,0,0,3,0,6,0,Wicketkeeper,Binod Bhandari,Nepal,437005
1.0,24,15,0,-,3.75,-,0,0,1.0,1,9,9*,-,44,20.45,0,0,0,0,1,0,Bowler,Shakti Gauchan,Nepal,25964
2.0,-,-,-,-,-,-,-,-,2.0,0,69,50,34.5,130,53.07,0,1,5,1,0,1,Wicketkeeper batsman,Subash Khakurel,Nepal,446807
6.0,258,164,9,18.22,3.81,28.6,1,0,6.0,0,235,115,39.16,286,82.16,1,1,29,3,3,0,Allrounder,Paras Khadka,Nepal,25967
5.0,234,199,5,39.8,5.1,46.8,0,0,5.0,0,21,18,5.25,23,91.3,0,0,1,2,0,0,Allrounder,Karan KC,Nepal,800675
6.0,319,222,15,14.8,4.17,21.2,2,0,6.0,1,40,15,10,69,57.97,0,0,2,0,1,0,Bowler,Sandeep Lamichhane,Nepal,960361
6.0,-,-,-,-,-,-,-,-,6.0,0,143,51,23.83,189,75.66,0,1,19,0,2,0,Top-order batsman,Gyanendra Malla,Nepal,233400
4.0,-,-,-,-,-,-,-,-,4.0,0,86,55,21.5,111,77.47,0,1,9,0,2,0,Batting allrounder,Rohit Paudel,Nepal,1072488
4.0,174,117,4,29.25,4.03,43.5,0,0,4.0,0,13,12,3.25,47,27.65,0,0,2,0,0,0,Bowler,Basant Regmi,Nepal,25955
3.0,42,33,0,-,4.71,-,0,0,3.0,2,5,3*,-,20,25,0,0,0,0,1,0,Top-order batsman,Lalit Rajbanshi,Nepal,913853
6.0,301,247,13,19,4.92,23.1,0,1,6.0,2,146,61,36.5,164,89.02,0,1,12,5,1,0,Bowler,Sompal Kami,Nepal,701215
2.0,-,-,-,-,-,-,-,-,2.0,0,12,8,6,18,66.66,0,0,1,0,0,0,Allrounder,Pawan Sarraf,Nepal,1072485
2.0,-,-,-,-,-,-,-,-,2.0,0,25,21,12.5,35,71.42,0,0,4,0,2,0,Batting allrounder,Anil Sah,Nepal,1058510
1.0,-,-,-,-,-,-,-,-,1.0,0,3,3,3,20,15,0,0,0,0,0,0,Opening batsman,Sagar Pun,Nepal,524095
1.0,-,-,-,-,-,-,-,-,1.0,0,4,4,4,15,26.66,0,0,0,0,0,0,Middle-order batsman,Sharad Vesawkar,Nepal,25977
7.0,179,128,1,128,4.29,179,0,0,7.0,3,42,19*,21,51,82.35,0,0,4,1,1,0,Bowler,Thinus Fourie,Ireland,245288
7.0,351,337,12,28.08,5.76,29.2,1,0,7.0,4,16,10*,-,29,55.17,0,0,1,0,1,0,Bowler,Manjula Guruge,United Arab Emirates,49013
3.0,-,-,-,-,-,-,-,-,3.0,0,54,24,18,102,52.94,0,0,4,1,4,1,Opening batsman,Abdul Shakoor,United Arab Emirates,585100
7.0,210,258,8,32.25,7.37,26.2,1,0,7.0,0,61,41,15.25,44,138.63,0,0,5,4,0,0,Allrounder,Dolar Mahmud,Bangladesh,56209
14.0,-,-,-,-,-,-,-,-,14.0,3,126,30,14,201,62.68,0,0,9,1,9,4,Wicketkeeper batsman,Dhiman Ghosh,Bangladesh,56208
4.0,204,161,5,32.2,4.73,40.8,0,0,4.0,2,2,1*,1,11,18.18,0,0,0,0,0.0,0.0,Bowler,Elias Sunny,Bangladesh,55883
2.0,18,16,0,-,5.33,-,0,0,2.0,0,0,0,0,9,0,0,0,0,0,1.0,0.0,Allrounder,Fazle Mahmud,Bangladesh,55893
34.0,1139,1017,22,46.22,5.35,51.7,0,1,34.0,6,412,50,16.48,636,64.77,0,1,39,8,13.0,0.0,Allrounder,Farhad Reza,Bangladesh,55894
35.0,-,-,-,-,-,-,-,-,35.0,2,638,69*,19.93,1356,47.05,0,5,53,0,7.0,0.0,Top-order batsman,Fargana Hoque,Bangladesh,486995
12.0,319,229,6,38.16,4.3,53.1,0,0,12.0,2,54,10*,6,137,39.41,0,0,2,0,5.0,0.0,Bowler,Fahima Khatun,Bangladesh,627048
